iev	time	count	locflow_time	diff	var	phase_type
164	2022-04-30 09:49:29.245333248+00:00	60	2022-04-30 09:49:21.683000+00:00	-7.562333	0.018618192090395495	S
164	2022-04-30 09:49:43.400419584+00:00	31	2022-04-30 09:49:21.683000+00:00	-21.717419	0.08303311827956998	S
165	2022-04-30 12:04:45.359330816+00:00	586	2022-04-30 12:04:41.163000+00:00	-4.19633	0.011964806452553897	P
165	2022-04-30 12:04:46.320047872+00:00	603	2022-04-30 12:04:41.163000+00:00	-5.157047	0.002736786719778737	S
168	2022-05-01 00:24:20.844210432+00:00	38	2022-05-01 00:24:16.060000+00:00	-4.78421	0.011879089615931735	P
168	2022-05-01 00:24:22.065249792+00:00	40	2022-05-01 00:24:16.060000+00:00	-6.005249	0.0016819871794871704	S
170	2022-05-01 06:33:27.142708736+00:00	508	2022-05-01 06:33:22.062000+00:00	-5.080708	0.0046665579524452945	P
170	2022-05-01 06:33:28.282910464+00:00	538	2022-05-01 06:33:22.062000+00:00	-6.22091	0.004525612136819586	S
171	2022-05-01 07:46:59.230943232+00:00	492	2022-05-01 07:46:54.262000+00:00	-4.968943	0.001955703475568362	P
171	2022-05-01 07:47:00.407409152+00:00	501	2022-05-01 07:46:54.262000+00:00	-6.145409	0.005463682235528946	S
172	2022-05-01 09:57:03.607681024+00:00	47	2022-05-01 09:56:56.763000+00:00	-6.844681	0.010421091581868628	S
173	2022-05-01 15:17:32.744272128+00:00	661	2022-05-01 15:17:27.564000+00:00	-5.180272	0.012951440883876586	P
173	2022-05-01 15:17:33.933586176+00:00	145	2022-05-01 15:17:27.564000+00:00	-6.369586	0.01710677203065132	S
173	2022-05-01 15:17:34.148736+00:00	492	2022-05-01 15:17:27.564000+00:00	-6.584736	0.031421314970278	S
174	2022-05-03 01:44:28.451193344+00:00	243	2022-05-03 01:44:22.380000+00:00	-6.071193	0.0077584872291943064	P
174	2022-05-03 01:44:29.539393792+00:00	264	2022-05-03 01:44:22.380000+00:00	-7.159393	0.006169973499251066	S
175	2022-05-03 05:30:27.818705152+00:00	828	2022-05-03 05:30:21.081000+00:00	-6.737705	0.004611656706914573	P
175	2022-05-03 05:30:29.408969728+00:00	724	2022-05-03 05:30:21.081000+00:00	-8.327969	0.057619523280071534	S
175	2022-05-03 05:30:30.250505216+00:00	101	2022-05-03 05:30:21.081000+00:00	-9.169505	0.06596475247524754	S
176	2022-05-03 05:31:11.450210816+00:00	38	2022-05-03 05:31:05.641000+00:00	-5.80921	0.11839665718349927	P
176	2022-05-03 05:31:12.428804608+00:00	41	2022-05-03 05:31:05.641000+00:00	-6.787804	0.048022560975609745	P
176	2022-05-03 05:31:13.682297856+00:00	131	2022-05-03 05:31:05.641000+00:00	-8.041297	0.0056252260716382774	S
177	2022-05-03 05:32:04.809367296+00:00	147	2022-05-03 05:31:58.121000+00:00	-6.688367	0.05776854906346098	P
177	2022-05-03 05:32:05.134580224+00:00	81	2022-05-03 05:31:58.121000+00:00	-7.01358	0.01754077160493826	P
177	2022-05-03 05:32:06.315110656+00:00	253	2022-05-03 05:31:58.121000+00:00	-8.19411	0.0037624004015308307	S
178	2022-05-03 05:38:10.496892928+00:00	56	2022-05-03 05:38:03.741000+00:00	-6.755892	0.02367191558441559	P
